Month,Mortgage,Balance,Interest,Paid Amount
72,6.885848266904386,144.27351573593617,6.624513960283849,0.2613343066205367
73,6.885848266904386,144.00020360692886,6.612536137897075,0.2733121290073113
74,6.885848266904386,143.7143646720087,6.600009331984239,0.28583893492014667
75,6.885848266904386,143.41542478590472,6.586908380800399,0.2989398861039865
76,6.885848266904386,143.1027834883543,6.573206969353966,0.31264129755042
77,6.885848266904386,142.7758127979995,6.558877576549572,0.3269706903548135
78,6.885848266904386,142.4338559510034,6.54389141990831,0.34195684699607565
79,6.885848266904386,142.07622608185335,6.528218397754323,0.35762986915006323
80,6.885848266904386,141.70220484370057,6.511827028751612,0.3740212381527739
81,6.885848266904386,141.3110409654658,6.494684388669609,0.39116387823477705
82,6.885848266904386,140.90194874281192,6.476756044250515,0.4090922226538707
83,6.885848266904386,140.47410645995308,6.458005984045546,0.4278422828588395
84,6.885848266904386,140.02665473912987,6.438396546081183,0.44745172082320295
85,6.885848266904386,139.5586948144356,6.4178883422101185,0.4679599246942674
86,6.885848266904386,139.06928672652617,6.396440178994965,0.48940808790942114
87,6.885848266904386,138.55744743458757,6.374008974965783,0.5118392919386032
88,6.885848266904386,138.02214884176846,6.350549674085264,0.5352985928191218
89,6.885848266904386,137.46231573011178,6.32601515524772,0.5598331116566655
90,6.885848266904386,136.87682360083753,6.300356137630124,0.5854921292742619
91,6.885848266904386,136.2644964156382,6.273521081705053,0.6123271851993328
92,6.885848266904386,135.62410423445058,6.245456085716751,0.640392181187635
93,6.885848266904386,134.9543607449585,6.216104777412318,0.6697434894920677
94,6.885848266904386,134.25392067886472,6.185408200810598,0.7004400660937877
95,6.885848266904386,133.52137710974162,6.153304697781299,0.732543569123087
96,6.885848266904386,132.75525862703373,6.119729784196491,0.7661184827078946
97,6.885848266904386,131.95402638053505,6.084616020405712,0.8012322464986736
98,6.885848266904386,131.1160709894052,6.047892875774523,0.8379553911298627
99,6.885848266904386,130.2397093095152,6.009486587014404,0.8763616798899818
100,6.885848266904386,129.32318105263028,5.969320010019447,0.9165282568849387
101,6.885848266904386,128.36464525063812,5.92731246491222,0.9585358019921655
102,6.885848266904386,127.36217655772131,5.88337957398758,1.002468692916806
103,6.885848266904386,126.31376138304582,5.837433092228893,1.048415174675493
104,6.885848266904386,125.21729384619769,5.789380730056266,1.0964675368481203
105,6.885848266904386,124.07057154724403,5.739125967950727,1.1467222989536587
106,6.885848266904386,122.87129114292166,5.6865678625820175,1.1992804043223684
107,6.885848266904386,121.61704372006785,5.631600844050577,1.2542474228538092
108,6.885848266904386,120.3053099569999,5.5741145038364435,1.3117337630679424
109,6.885848266904386,118.93345506312468,5.513993373029162,1.3718548938752235
110,6.885848266904386,117.49872348661351,5.4511166903932144,1.4347315765111714
111,6.885848266904386,115.99823337951224,5.385358159803119,1.5004901071012666
